,Sort,Name,Lab,# of Tanks set up,# of Tanks w/ eggs,Food dates,Fresh water dates,Set Up date,Completion date,Unnamed: 9,% laying,For every 50 set up events,Total # Tanks set up,Total # Tanks w/ eggs,Overall % laying
0,1,38,12,38,17.0,,,2019-09-26,2019-09-27,,44.7%,,,,
1,2,14,10,2,,,,2019-09-26,2019-09-27,,0.0%,,,,
2,3,2,10,25,20.0,,,2019-09-26,2019-09-27,,80.0%,,,,
3,4,2,10,10,9.0,,,2019-09-24,2019-09-25,,90.0%,,,,
4,5,59,7,4,3.0,,,2019-09-25,2019-09-26,,75.0%,,,,
5,6,11,7,3,3.0,,,2019-09-25,2019-09-26,,100.0%,,,,
6,7,59,7,4,,,,2019-09-26,2019-09-27,,0.0%,,,,
7,8,20,7,8,6.0,,,2019-09-25,2019-09-26,,75.0%,,,,
8,9,27,1,3,1.0,,,2019-09-25,2019-09-26,,33.3%,,,,
9,10,77,1,9,4.0,,,2019-09-26,2019-09-27,,44.4%,,,,
10,11,27,1,14,3.0,,,2019-09-24,2019-09-25,,21.4%,,,,
11,12,24,8,4,4.0,,,2019-09-25,2019-09-26,,100.0%,,,,
12,13,81,8,4,1.0,,,2019-09-26,2019-09-27,,25.0%,,,,
13,14,79,8,4,0.0,,,2019-09-26,2019-09-27,,0.0%,,,,
14,15,50,2,24,20.0,,,2019-09-27,2019-09-28,,83.3%,,,,
15,16,67,22,2,2.0,,,2019-09-25,2019-09-26,,100.0%,,,,
16,17,9,22,2,2.0,,,2019-09-26,2019-09-27,,100.0%,,,,
17,18,29,22,6,4.0,,,2019-09-25,2019-09-26,,66.7%,,,,
18,19,40,22,5,3.0,,,2019-09-26,2019-09-27,,60.0%,,,,
19,20,29,22,10,4.0,,,2019-09-24,2019-09-25,,40.0%,,,,
20,21,46,16,5,2.0,,,2019-09-26,2019-09-27,,40.0%,,,,
21,22,46,16,2,0.0,,,2019-09-24,2019-09-25,,0.0%,,,,
22,23,46,16,3,3.0,,,2019-09-24,2019-09-25,,100.0%,,,,
23,24,79,8,5,5.0,,,2019-09-25,2019-09-26,,100.0%,,,,
24,25,81,8,2,0.0,,,2019-09-25,2019-09-26,,0.0%,,,,
25,26,60,23,4,1.0,,,2019-09-29,2019-09-30,,25.0%,,,,
26,27,68,23,6,6.0,,,2019-09-28,2019-09-29,,100.0%,,,,
27,28,42,14,19,7.0,,,2019-09-24,2019-09-25,,36.8%,,,,
28,29,14,10,5,1.0,,,2019-09-23,2019-09-24,,20.0%,,,,
29,30,24,16,4,2.0,,,2019-09-30,2019-10-01,,50.0%,,,,
30,31,21,10,9,7.0,,,2019-09-30,2019-10-01,,,,,,
31,32,16,19,3,0.0,,,2019-09-30,2019-10-01,,0.0%,,,,
32,33,27,1,12,5.0,,,2019-09-30,2019-10-01,,41.7%,,,,
33,34,43,10,8,2.0,,,2019-09-30,2019-10-01,,25.0%,,,,
34,35,59,7,4,0.0,,,2019-09-29,2019-09-30,,0.0%,,,,
35,36,69,16,5,2.0,,,2019-09-30,2019-10-01,,40.0%,,,,
36,37,30,1,12,8.0,,,2019-09-30,2019-10-01,,66.7%,,,,
37,38,72,21,4,3.0,,,2019-09-30,2019-10-01,,75.0%,,,,
38,39,46,16,10,3.0,,,2019-09-30,2019-10-01,,30.0%,,,,
39,40,34,8,6,3.0,,,2019-09-30,2019-10-01,,50.0%,,,,
40,41,53,12,2,1.0,,,2019-10-01,2019-10-02,,50.0%,,,,
41,42,2,10,5,4.0,,,2019-10-01,2019-10-02,,80.0%,,,,
42,43,81,8,18,11.0,,,2019-10-02,2019-10-03,,61.1%,,,,
43,44,7,21,4,2.0,,,2019-10-01,2019-10-02,,50.0%,,,,
44,45,61,1,5,3.0,,,2019-10-02,2019-10-03,,60.0%,,,,
45,46,81,8,4,2.0,,,2019-10-02,2019-10-03,,50.0%,,,,
46,47,16,19,3,2.0,,,2019-10-01,2019-10-02,,66.7%,,,,
47,48,38,12,9,8.0,,,2019-10-02,2019-10-03,,88.9%,,,,
48,49,59,7,6,5.0,,,2019-10-01,2019-10-02,,83.3%,,,,
49,50,32,23,4,4.0,,,2019-09-30,2019-10-01,,100.0%,,369.0,208.0,56.4%
50,51,61,1,6,2.0,,,2019-09-30,2019-10-01,,33.3%,,,,
51,52,58,16,3,0.0,,,2019-09-30,2019-10-01,,0.0%,,,,
52,53,31,12,6,5.0,,,2019-09-30,2019-10-01,,83.3%,,,,
53,54,22,23,2,2.0,,,2019-09-30,2019-10-01,,100.0%,,,,
54,55,30,1,42,31.0,,,2019-10-01,2019-10-02,,73.8%,,,,
55,56,2,10,3,3.0,,,2019-10-01,2019-10-02,,100.0%,,,,
56,57,27,1,6,0.0,,,2019-10-03,2019-10-04,,0.0%,,,,
57,B,30,1,42,25.0,,,2019-10-03,2019-10-04,,59.5%,,,,
58,59,33,7,9,9.0,,,2019-10-03,2019-10-04,,100.0%,,,,
